top_k_pixels,top_k_fraction,tile_roc_auc,tile_average_precision,source_group_balanced_tile_roc_auc,source_group_balanced_tile_average_precision,tile_cohens_d,object_roc_auc,object_average_precision,source_image_roc_auc,source_image_average_precision,selected,config_name,seed
74,0.0005018446180555,0.7071428571428571,0.4911916499532643,0.7545454545454546,0.7160501140980025,0.6463667930382644,0.855,0.3910731373889269,0.28,0.4546031746031745,False,deit_base_distilled_384,2025
147,0.0009969075520833,0.7166666666666667,0.5331493971016663,0.7748863636363637,0.7590438528985142,0.6971861868502267,0.875,0.5009415584415584,0.3199999999999999,0.5546031746031745,False,deit_base_distilled_384,2025
369,0.00250244140625,0.7333333333333333,0.5669980919884796,0.7927272727272727,0.7856897017891069,0.7933025102691389,0.9000000000000001,0.536923076923077,0.36,0.5688888888888889,False,deit_base_distilled_384,2025
737,0.0049981011284722,0.7535714285714286,0.5801033950902448,0.805,0.7914709140232081,0.8888801529799567,0.905,0.5433333333333333,0.36,0.5688888888888889,False,deit_base_distilled_384,2025
1475,0.0100029839409722,0.7702380952380952,0.5969874949555944,0.8151136363636364,0.7970669710549604,0.9982814344995192,0.915,0.5912698412698412,0.44,0.6190476190476191,False,deit_base_distilled_384,2025
3686,0.0249972873263888,0.805952380952381,0.6451600331793177,0.8474999999999999,0.8323119482660175,1.1930613935345002,0.93,0.6445421245421246,0.56,0.6676190476190476,False,deit_base_distilled_384,2025
7373,0.0500013563368055,0.8488095238095239,0.7097483943549476,0.8743181818181819,0.8586829228868073,1.3701566795902074,0.945,0.7366666666666666,0.68,0.7644444444444445,False,deit_base_distilled_384,2025
9216,0.0625,0.8571428571428571,0.7261411795738058,0.8754545454545454,0.8623878408646214,1.429538979414504,0.95,0.7666666666666666,0.72,0.7944444444444445,False,deit_base_distilled_384,2025
14746,0.1000027126736111,0.8833333333333333,0.7669535731592729,0.8952272727272728,0.8840441621451841,1.55550786281302,0.955,0.7933333333333332,0.76,0.8211111111111111,False,deit_base_distilled_384,2025
29491,0.1999986436631944,0.9166666666666666,0.8195649615092546,0.9180681818181818,0.901928408244268,1.749458470806221,0.94,0.7302564102564102,0.72,0.7783333333333333,False,deit_base_distilled_384,2025
49152,0.3333333333333333,0.9285714285714286,0.8345200174615754,0.9275,0.909671208534762,1.9097142044478423,0.945,0.7366666666666666,0.72,0.7783333333333333,False,deit_base_distilled_384,2025
73728,0.5,0.9345238095238094,0.8458610294265612,0.9318181818181818,0.9136462906831138,2.037759862850557,0.945,0.7366666666666666,0.72,0.7783333333333333,False,deit_base_distilled_384,2025
147456,1.0,0.9404761904761904,0.8762698358286596,0.9426136363636364,0.9306851945156612,2.112914763622084,0.97,0.8444444444444443,0.84,0.8761904761904762,True,deit_base_distilled_384,2025
